titulo,imagen,precio
Asus Dual Radeon RX 7800 XT OC 16GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-032538_1.jpg,529
PowerColor AMD Radeon RX 6600 Fighter 8GB GDDR6,https://www.coolmod.com/images/product/normal/1228-powercolor-fighter-amd-radeon-rx-6600-8gb-gddr6.jpg,219
MSI GeForce RTX 4060 Ti VENTUS 2X Black OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-026884_1.jpg,439
Gigabyte GeForce RTX 4060 WindForce OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-027418_1.jpg,329
PowerColor Radeon RX 7900 XTX Hell Hound OC 24GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-024748_1.jpg,1.099
Gigabyte Radeon RX 7800 XT Gaming OC 16GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-028178_1.jpg,528
Gigabyte GeForce RTX 3060 Windforce OC LHR 12GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-024636_1.jpg,299
MSI GeForce RTX 3050 VENTUS 2X XS OC 8GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-028090_1.jpg,234
Gigabyte GeForce RTX 4060 EAGLE OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-027419_1.jpg,339
Gigabyte GeForce RTX 4060 GAMING OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-027422_1.jpg,359
MSI GeForce RTX 4070 SUPER GAMING X SLIM 12GB GDDR6X DLSS3,https://www.coolmod.com/images/product/normal/PROD-030396_1.jpg,899
INNO3D GeForce RTX 3060 TWIN X2 12GB GDDR6,https://www.coolmod.com/images/product/normal/inno3d-geforce-rtx-3060-twin-x2-12gb-gddr6-tarjeta-grafica-001.jpg,294
MSI GeForce RTX 3050 LP OC 6GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-034623_1.jpg,209
Asus Dual Radeon RX 7800 XT OC 16GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-032538_1.jpg,529
PowerColor AMD Radeon RX 6600 Fighter 8GB GDDR6,https://www.coolmod.com/images/product/normal/1228-powercolor-fighter-amd-radeon-rx-6600-8gb-gddr6.jpg,219
MSI GeForce RTX 4060 Ti VENTUS 2X Black OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-026884_1.jpg,439
Gigabyte GeForce RTX 4060 WindForce OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-027418_1.jpg,329
PowerColor Radeon RX 7900 XTX Hell Hound OC 24GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-024748_1.jpg,1.099
Gigabyte Radeon RX 7800 XT Gaming OC 16GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-028178_1.jpg,528
Gigabyte GeForce RTX 3060 Windforce OC LHR 12GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-024636_1.jpg,299
MSI GeForce RTX 3050 VENTUS 2X XS OC 8GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-028090_1.jpg,234
Gigabyte GeForce RTX 4060 EAGLE OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-027419_1.jpg,339
Gigabyte GeForce RTX 4060 GAMING OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-027422_1.jpg,359
MSI GeForce RTX 4070 SUPER GAMING X SLIM 12GB GDDR6X DLSS3,https://www.coolmod.com/images/product/normal/PROD-030396_1.jpg,899
INNO3D GeForce RTX 3060 TWIN X2 12GB GDDR6,https://www.coolmod.com/images/product/normal/inno3d-geforce-rtx-3060-twin-x2-12gb-gddr6-tarjeta-grafica-001.jpg,294
MSI GeForce RTX 3050 LP OC 6GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-034623_1.jpg,209
MSI GeForce RTX 4060 VENTUS 2X Black OC 8GB GDDR6 DLSS3,https://www.coolmod.com/images/product/normal/PROD-027184_1.jpg,319
Sapphire Pulse Radeon RX 7800 XT 16GB GDDR6,https://www.coolmod.com/images/product/normal/PROD-029023_1.jpg,526
Asus Dual GeForce RTX 4070 SUPER EVO OC 12GB GDDR6X,https://www.coolmod.com/images/product/normal/PROD-032541_1.jpg,676
Asus ROG Strix GeForce RTX 4070 SUPER Gaming OC 12GB GDDR6X DLSS3,https://www.coolmod.com/images/product/normal/PROD-030484_1.jpg,942
